ID;Control;Caption1;Caption2;Drawing artist;Copyright;Author1;Author2;Author3;Author4;Year;Title;Journal;Volume;Field0;ControlPublication
11;Fig. 11 Alstonia pittieri (Donn.Sm.) A.H.Gentry, Apocynaceae;"A: rama con hojas e inflorescencia; B: flor; C: rama con frutos; D: flor con estambres y pistilo (corte longitudinal).";"A, B, D según R. Villacorta & R. Toledo 831 (LAGU); C según A. K. Monro & al. 2111 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
12;Fig. 12 Aspidosperma megalocarpon Müll.Arg., Apocynaceae;"A: rama con hojas e inflorescencia (en botón); B: flor (corte longitudinal); C: fruto.";"A, B según E. Sandoval & F. Chinchilla 400 (LAGU); C según J. M. Rosales 1312 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
13;Fig. 13 Ilex discolor Hemsl. var. discolor, Aquifoliaceae;"A: rama con frutos; B: flor; C: fruto.";"A, C según E. Sandoval & F. Chinchilla 745 (LAGU); B según E. A. Montalvo & R. Villacorta 6489 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
14;Fig. 14 Ilex guianensis (Aubl.) Kuntze, Aquifoliaceae;"A: rama con hojas y frutos; B: rama con inflorescencias; C: flor (y botones); D: fruto.";"A, D según R. A. Carballo & J. Monterrosa 959 (LAGU); B, C según K. Sidwell & al. 761(LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
15;Fig. 15 Dendropanax arboreus (L.) Decne. & Planch., Araliaceae;"A: rama con hojas e inflorescencias; B: umbela de frutos; C: flor; D: fruto.";"A según I. Martínez s.n. [ISF00219] (LAGU); B, D según M. Calderón s.n. [JF-00038] (LAGU); C según R. Villacorta & al. 351 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
16;Fig. 16 Oreopanax geminatus Marchal, Araliaceae;"A: sección de rama con hojas e infrutescencias; B: inflorescencia; C: flor hermafrodita; D: fruto.";"A, D según V. M. Martínez s.n. [CMC00824] (LAGU); B, C según V. M. Martínez s.n. [CMC00456] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
17;Fig. 17 Calotropis procera (Aiton) W.T.Aiton, Asclepiadaceae;"A: rama con hojas e inflorescencias; B: flor; C: frutos.";Dibujado según J. Flores 223 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
18;Fig. 18 Critonia morifolia (Mill.) R.M.King & H.Rob., Asteraceae;"A: hojas; B: inflorescencias (capitulescencia racemosa); C: flores; D: flósculo con aquenio.";"A según A. Sermeño 164 [JBL01100] (LAGU); B, C, D según O. Guerrero s.n. [ISF00209] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
19;Fig. 19 Berberis johnstonii Standl. & Steyerm., Berberidaceae;A: sección de rama con hojas e infrutescencias.;Dibujado según D. Witsberger 465 (MHES).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
20;Fig. 20 Alnus acuminata subsp. arguta (Schltdl.) Furlow, Betulaceae;"A: rama con hojas; B: infrutescencia; C: semillas; D: fruto.";Dibujado según J. Jurado s.n. [JBL00048] (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
21;Fig. 21 Crescentia cujete L., Bignoniaceae;"A: rama con hojas; B: flor; C: fruto.";"A según J. M. Rosales 2164 (LAGU); B según J. M. Rosales 2235(LAGU); C según foto de muestra viva (archivo de fotos LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
22;Fig. 22 Tabebuia impetiginosa (Mart. ex DC.) Standl., Bignoniaceae;"A: rama con hojas; B: inflorescencia; C: flor (corte longitudinal); D: envés de hoja; E: fruto.";Dibujado según R. Cruz 144 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
23;Fig. 23 Ochroma pyramidale (Cav. ex Lam.) Urb., Bombacaceae;"A: sección de rama con hoja; B: flor.";Dibujado según R. Cruz s.n. [JF-00055] (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
24;Fig. 24 Bourreria huanita (Lex.) Hemsl., Boraginaceae;"A: rama con hojas y frutos; B: flor.";"A según E. Sandoval & F. Chinchilla 215 (LAGU); B según E. Sandoval 1159 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
25;Fig. 25 Brunellia mexicana Standl., Brunelliaceae;"A: rama con hoja; B: inflorescencia; C: frutos; D: flor; E: estipelas.";"A, C, E según M. L. Reyna de Aguilar 1460 (LAGU); B, D según J. Monterrosa & R. A. Carballo 354 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
26;Fig. 26 Buddleja americana L., Buddlejaceae;"A: rama con hojas e inflorescencias; B: flor; C: fruto con calix y corola persistentes.";Dibujado según E. Sandoval 1797 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
27;Fig. 27 Bursera schlechtendalii Engl., Burseraceae;"A: sección de rama con hojas y frutos; B: flor; C: fruto.";Dibujado según J. Monterrosa & R. A. Carballo 538 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
28;Fig. 28 Buxus bartlettii Standl., Buxaceae;"A: rama con inflorescencias; B: flor estaminada; C: fruto.";Dibujado según M. Sandoval & E. Sandoval 49 (LAGU).;José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
29;Fig. 29 Capparis frondosa Jacq., Capparaceae;"A: rama con frutos; B: rama con inflorescencia en botones; C: flor recién abierta (estambres arrugados).";"A según R. Villacorta & E. Echeverría 2452 (LAGU); B, C según J. M. Rosales 1855 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
30;Fig. 30 Sambucus canadensis L., Caprifoliaceae;"A: rama con inflorescencia; B: flor; C: frutos.";"A, B según J. Flores 13 (LAGU); C según J. Monterrosa & al. 976 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
31;Fig. 31 Casuarina equisetifolia L., Casuarinaceae;"A: rama con hojas e inflorescencias; B: flor estaminada; C: flor pistilada; D: fruto (sámara); E: detalle de hoja (recordando Equisetum).";"A, B, C, E según V. M. Martínez s.n. [CMC00053] (LAGU); D según F. de M. Martínez s.n. [JBL02216] (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
32;Fig. 32 Cecropia obtusifolia Bertol., Cecropiaceae;"A: rama con hoja joven (y espata abierta con más hojas en desarrollo) y con inflorescencia masculina (y espata cerrada con inflorescencia en desarrollo); B: flores estaminadas; C: inflorescencia femenina; D: flores pistiladas; E: envés de hoja.";"A, B, E según A. Sermeño 80 [JBL00987] (LAGU); C, D según R. Cruz 169 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
33;Fig. 33 Zinowiewia cuneifolia Lundell, Celastraceae;"A: rama con hojas e inflorescencias; B: flor; C: frutos.";"A, B según J. M. Rosales 1016 (LAGU); C según R. Villacorta 2625 (LAGU).";José Gerver Molina;(c) Botanic Garden and Botanical Museum Berlin-Dahlem & Asociación Jardín Botánico La Laguna. Berlin, Antiguo Cuscatlán 2009.;Berendsohn, W. G.;Gruber, A. K.;Monterrosa Salomón, J.;;2009;Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador - Parte 1: Angiospermae - Familias A-L;Englera;29(1);1-438;Berendsohn, W. G., Gruber, A. K. & Monterrosa Salomón, J. 2009: Nova Silva Cuscatlanica, Árboles nativos e introducidos de El Salvador. Parte 1: Angiospermae - Familias A-L. Englera 29(1): 1-438.
